model,split_seed,candidate_seed,layer_rule,layer,nested_model,features,n_candidates,n_images,n_positive,positive_rate,group_folds,oof_auroc,oof_auprc
bbb_densenet,1001,0,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16220,0.20275,5,0.6584842064603239,0.3102835507502043
bbb_densenet,1001,0,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16220,0.20275,5,0.7792597917703388,0.4315459303456949
bbb_densenet,1001,0,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16220,0.20275,5,0.9807333160884808,0.946007461898877
bbb_densenet,1001,0,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16220,0.20275,5,0.9807209662994595,0.9459637374483036
bbb_densenet,1001,0,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16220,0.20275,5,0.9806971859957877,0.9461225429347297
bbb_densenet,1001,0,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,14785,0.1848125,5,0.7057459638135102,0.3429453316105626
bbb_densenet,1001,0,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,14785,0.1848125,5,0.8119537620561588,0.4513159111850733
bbb_densenet,1001,0,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,14785,0.1848125,5,0.9808704378905796,0.940159107243189
bbb_densenet,1001,0,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,14785,0.1848125,5,0.9808887649293844,0.9401413662079215
bbb_densenet,1001,0,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,14785,0.1848125,5,0.9858123610851866,0.9525406227839779
bbb_densenet,1001,1,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16236,0.20295,5,0.658394462371322,0.3117910190901339
bbb_densenet,1001,1,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16236,0.20295,5,0.7789103918692294,0.43364851529187565
bbb_densenet,1001,1,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16236,0.20295,5,0.980912651750027,0.9470155102875898
bbb_densenet,1001,1,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16236,0.20295,5,0.9809204622555034,0.9470233803509212
bbb_densenet,1001,1,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16236,0.20295,5,0.9809307600292957,0.9472780769873663
bbb_densenet,1001,1,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,14703,0.1837875,5,0.7067607698388239,0.3417155106098225
bbb_densenet,1001,1,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,14703,0.1837875,5,0.8130854532674553,0.45027843685258245
bbb_densenet,1001,1,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,14703,0.1837875,5,0.980268305459518,0.9382125620051514
bbb_densenet,1001,1,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,14703,0.1837875,5,0.9802677732021106,0.9381496713186723
bbb_densenet,1001,1,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,14703,0.1837875,5,0.9853475045753591,0.9510770056123612
bbb_densenet,1001,2,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16249,0.2031125,5,0.6579617094073325,0.310759794812598
bbb_densenet,1001,2,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16249,0.2031125,5,0.778757844248673,0.43105292162877484
bbb_densenet,1001,2,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16249,0.2031125,5,0.9804800084762669,0.9463784615319858
bbb_densenet,1001,2,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16249,0.2031125,5,0.9805005531287111,0.9463425053188228
bbb_densenet,1001,2,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16249,0.2031125,5,0.9805003117903448,0.9465778455864545
bbb_densenet,1001,2,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,14663,0.1832875,5,0.7080558093098237,0.34322844611686143
bbb_densenet,1001,2,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,14663,0.1832875,5,0.8139884823440499,0.4514065968143225
bbb_densenet,1001,2,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,14663,0.1832875,5,0.9804812725331526,0.9382797759841881
bbb_densenet,1001,2,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,14663,0.1832875,5,0.9804824353281821,0.9382259327727108
