model,method,baseline,n_images,delta_candidate_coverage,delta_candidate_coverage_ci_low,delta_candidate_coverage_ci_high,delta_best_margin_drop,delta_best_margin_drop_ci_low,delta_best_margin_drop_ci_high,delta_unit_realized_jvp_gain,delta_unit_realized_jvp_gain_ci_low,delta_unit_realized_jvp_gain_ci_high,delta_max_fd_mobility,delta_max_fd_mobility_ci_low,delta_max_fd_mobility_ci_high
bbb_densenet,linf_induced,l2_singular_sign,100,0.0,-0.04,0.04,0.6406765747070311,0.19427328336238806,1.1326697141528128,3.0412647247314464,2.2580540523529065,3.931820487976076,0.00203713655471802,-0.016825671166181593,0.020677502125501613
bbb_densenet,ce_gradient_sign,l2_singular_sign,100,-0.21,-0.29,-0.13,-3.3796901750564574,-4.686623061418533,-2.0340488708019264,-107.49044075012208,-122.91993946838379,-92.85965351963044,-0.41584861755371094,-0.47864789569377897,-0.35691336005926133
bbb_densenet,random_sign,l2_singular_sign,100,-0.68,-0.77,-0.59,-13.684369204044343,-14.900387270867824,-12.418171667695047,-228.91141602516174,-249.04602692890165,-209.73355136036875,-0.9496718585491181,-1.023309360548854,-0.8787235127240419
bbb_inception_v3,linf_induced,l2_singular_sign,100,0.03,-0.03,0.09,0.8629852938652038,0.37111702251434314,1.4218175995945928,2.381232261657715,1.850235326766969,2.9759681558608997,0.01763875842094421,0.009081930592656138,0.026281573310494417
bbb_inception_v3,ce_gradient_sign,l2_singular_sign,100,-0.23,-0.33,-0.13,-3.3051291346549987,-4.566416866719723,-2.080513199806215,-47.895215587615965,-51.969160385131836,-44.12584980058671,-0.09855580568313599,-0.12277007510513067,-0.07561977616697553
bbb_inception_v3,random_sign,l2_singular_sign,100,-0.73,-0.81,-0.64,-10.86616908788681,-11.969832676529885,-9.768691932141781,-98.86144386053085,-104.14620294213294,-93.88445825064183,-0.39833143427968026,-0.43648159393668173,-0.36094630711525677
bbb_resnet50,linf_induced,l2_singular_sign,100,0.02,-0.02,0.06,0.2514666414260865,-0.1743885325789453,0.7433780158162117,9.52474945068359,6.485720367431633,13.344823028564443,0.19439707279205337,-0.03167790329456312,0.4376635698080062
bbb_resnet50,ce_gradient_sign,l2_singular_sign,100,-0.1,-0.18,-0.02,-1.61509462594986,-2.475548816859722,-0.7303938133120543,-175.3277522277832,-205.25806126403808,-147.40260134506227,-1.0980523562431335,-1.5903220770955084,-0.6329155685901643
bbb_resnet50,random_sign,l2_singular_sign,100,-0.7,-0.79,-0.61,-11.958090970516205,-13.04133678084612,-10.828369814813138,-1423.7380124282836,-1644.7931213445663,-1220.7180037345888,-7.018119249343872,-7.671667277216911,-6.387588518738746
bbb_vgg19_bn,linf_induced,l2_singular_sign,100,-0.01,-0.03,0.0,0.03944814443588254,-0.028156635105609954,0.11480714219808573,0.13363918304443323,0.06375576210022164,0.21087757682800198,0.001004019975662227,-0.005305433899164212,0.0074681933522223985
bbb_vgg19_bn,ce_gradient_sign,l2_singular_sign,100,-0.02,-0.08,0.04,-0.14567759037017847,-0.8653802435994148,0.5637824369668947,-41.871447792053225,-49.317404510498044,-35.12115909385681,-0.10350836008787155,-0.18592329465597865,-0.023479908235371095
bbb_vgg19_bn,random_sign,l2_singular_sign,100,-0.65,-0.74,-0.55,-10.131460041999818,-11.065087309479713,-9.1984837192297,-267.4021030080319,-317.73295427513125,-220.70838051834707,-1.4111662484705447,-1.5390507196933032,-1.2809219866022468
