model,layer,candidate
bbb_resnet50,layer1,1
bbb_resnet50,layer2,1
bbb_resnet50,layer3,1
bbb_resnet50,layer4,1
bbb_resnet50,avgpool,1
bbb_resnet50,logits,1
bbb_vgg19_bn,block1,1
bbb_vgg19_bn,block2,1
bbb_vgg19_bn,block3,1
bbb_vgg19_bn,block4,1
bbb_vgg19_bn,block5,1
bbb_vgg19_bn,penultimate,1
bbb_vgg19_bn,logits,1
bbb_densenet,denseblock1,1
bbb_densenet,denseblock2,1
bbb_densenet,denseblock3,1
bbb_densenet,penultimate,1
bbb_densenet,logits,1
bbb_inception_v3,mixed5,1
bbb_inception_v3,mixed6,1
bbb_inception_v3,mixed7,1
bbb_inception_v3,penultimate,1
bbb_inception_v3,logits,1
