Model,Split seed,$\Delta$Tr.,Conditional image-bootstrap 95\% CI
ResNet50,1001,0.0091,"[0.0054, 0.0126]"
ResNet50,1002,0.0110,"[0.0068, 0.0150]"
ResNet50,1003,0.0082,"[0.0044, 0.0123]"
VGG19-BN,1001,0.0021,"[0.0006, 0.0038]"
VGG19-BN,1002,0.0009,"[-0.0004, 0.0022]"
VGG19-BN,1003,0.0019,"[0.0003, 0.0040]"
DenseNet,1001,0.0002,"[-0.0005, 0.0007]"
DenseNet,1002,0.0008,"[-0.0001, 0.0016]"
DenseNet,1003,0.0007,"[-0.0002, 0.0015]"
Inception-v3,1001,0.0011,"[-0.0004, 0.0026]"
Inception-v3,1002,0.0032,"[0.0016, 0.0050]"
Inception-v3,1003,0.0007,"[-0.0001, 0.0014]"
