Model,Baseline,$\Delta$ ASR road $-$ baseline (pp),McNemar $p$
ResNet50,PGD-20,"+0.5 [-1.5, +3.0]",1
ResNet50,FAB-100,"+4.0 [+1.0, +7.5]",0.0386
ResNet50,APGD-CE-20,"+0.0 [-2.0, +2.0]",1
ResNet50,APGD-DLR-20,"+0.5 [-1.5, +2.5]",1
ResNet50,Road-routing APGD-eta,"+3.0 [+0.5, +6.0]",0.0703
VGG19-BN,PGD-20,"+1.0 [-1.5, +3.5]",0.688
VGG19-BN,FAB-100,"+4.0 [+0.5, +7.5]",0.0574
VGG19-BN,APGD-CE-20,"-0.5 [-2.5, +1.5]",1
VGG19-BN,APGD-DLR-20,"+16.5 [+11.5, +22.0]",2.1e-09
VGG19-BN,Road-routing APGD-eta,"+3.5 [+0.5, +6.5]",0.0391
DenseNet,PGD-20,"-3.0 [-7.0, +1.0]",0.21
DenseNet,FAB-100,"+3.0 [-2.0, +8.0]",0.345
DenseNet,APGD-CE-20,"-5.5 [-9.0, -2.5]",0.000977
DenseNet,APGD-DLR-20,"-4.0 [-8.0, -0.5]",0.0574
DenseNet,Road-routing APGD-eta,"+4.5 [+0.5, +8.5]",0.049
Inception-v3,PGD-20,"+3.5 [+0.5, +6.5]",0.0654
Inception-v3,FAB-100,"+6.5 [+2.5, +11.0]",0.00443
Inception-v3,APGD-CE-20,"+4.0 [+1.0, +7.5]",0.0386
Inception-v3,APGD-DLR-20,"+1.0 [-2.5, +4.5]",0.791
Inception-v3,Road-routing APGD-eta,"+3.5 [+0.5, +7.0]",0.0654
