Model,Layer,AUROC,$E_s$,$E_f$,dim80$_s$,dim80$_r$,Rand./Succ.
ResNet50,layer1,0.364,0.890,0.888,2,98.8,49.4
ResNet50,layer2,0.324,0.687,0.740,5,129.4,25.9
ResNet50,layer3,0.552,0.658,0.645,16,153.0,9.6
ResNet50,layer4,0.798,0.903,0.834,7,169.0,24.1
ResNet50,avgpool,0.798,0.903,0.834,7,169.0,24.1
ResNet50,logits,0.513,1.000,1.000,6,8.0,1.3
VGG19-BN,block1,0.436,0.903,0.916,5,38.0,7.6
VGG19-BN,block2,0.412,0.618,0.649,13,61.6,4.7
VGG19-BN,block3,0.653,0.846,0.806,9,89.4,9.9
VGG19-BN,block4,0.668,0.985,0.983,3,114.2,38.1
VGG19-BN,block5,0.746,0.954,0.933,7,114.2,16.3
VGG19-BN,penultimate,0.689,0.955,0.939,7,114.4,16.3
VGG19-BN,logits,0.563,1.000,1.000,5,8.0,1.6
DenseNet,denseblock1,0.356,0.843,0.887,5,160.0,32.0
DenseNet,denseblock2,0.279,0.809,0.875,4,168.0,42.0
DenseNet,denseblock3,0.721,0.785,0.721,12,170.0,14.2
DenseNet,penultimate,0.664,0.860,0.811,10,170.0,17.0
DenseNet,logits,0.560,1.000,1.000,6,8.0,1.3
Inception-v3,mixed5,0.475,0.669,0.681,6,94.2,15.7
Inception-v3,mixed6,0.903,0.655,0.452,18,126.0,7.0
Inception-v3,mixed7,0.833,0.856,0.695,7,144.2,20.6
Inception-v3,penultimate,0.833,0.856,0.695,7,145.0,20.7
Inception-v3,logits,0.455,1.000,1.000,6,8.0,1.3
