Model / attack,$\epsilon$,ASR,early cos.,late cos.,late residual,residual AUROC
ResNet50 / PGD-CE20,1/255,0.430,0.730,0.247,6.004,0.586
ResNet50 / APGD-style CE50,1/255,0.650,0.544,0.710,1.096,0.560
ResNet50 / APGD-style DLR50,1/255,0.630,0.655,0.782,0.857,0.394
VGG19-BN / PGD-CE20,1/255,0.410,0.789,0.266,8.220,0.653
VGG19-BN / APGD-style CE50,1/255,0.530,0.632,0.486,3.186,0.604
VGG19-BN / APGD-style DLR50,1/255,0.490,0.754,0.647,2.289,0.414
ResNet50 / PGD-CE20,2/255,0.895,0.870,0.465,3.391,0.699
ResNet50 / APGD-style CE50,2/255,0.955,0.699,0.884,0.622,0.702
ResNet50 / APGD-style DLR50,2/255,0.940,0.821,0.869,0.727,0.633
VGG19-BN / PGD-CE20,2/255,0.865,0.908,0.508,3.879,0.688
VGG19-BN / APGD-style CE50,2/255,0.905,0.792,0.782,1.256,0.719
VGG19-BN / APGD-style DLR50,2/255,0.830,0.859,0.831,1.548,0.572
