model_id,scope,relative_or_cache_path,sha256
bbb_resnet50,CIFAR-10 natural,checkpoints/blackboxbench_cifar10/kaggle/trained_models_cifar10/resnet50_cifar10_lr01.pth,90674ed33336e2653d8214664415ec15393517b88c241237c69433f16b7fd8e5
bbb_vgg19_bn,CIFAR-10 natural,checkpoints/blackboxbench_cifar10/ckpt/vgg19_bn/model_best.pth.tar,ed556ac0d1cedfdc12110e00d50ec51d3a699bc7e056d61f2315a26b9f8bb157
bbb_densenet,CIFAR-10 natural,checkpoints/blackboxbench_cifar10/ckpt/densenet-bc-L190-k40/model_best.pth.tar,350630b339181496ef1a75abe82ff25e96e9e263a75e0c0fb54fea304a87b432
bbb_inception_v3,CIFAR-10 natural,checkpoints/blackboxbench_cifar10/kaggle/trained_models_cifar10/inceptionv3_cifar10_lr01.pth,d97bfed1f7dbe3e6f7716020c031bd15e6d5f5ecfcdce3f8600bf56c76d74dfb
imagenet_resnet50,ImageNet pilot,torch_hub/checkpoints/resnet50-11ad3fa6.pth,11ad3fa62ca79e40addfd354a8ec4b7c75143b3038b8d2a807fbc68deab379ca
imagenet_convnext_tiny,ImageNet pilot,torch_hub/checkpoints/convnext_tiny-983f1562.pth,983f1562536e84ff750a1576fb08e54de751dbf2e17c0d8a4a13704341fdcd3d
imagenet_vit_b_16,ImageNet pilot,torch_hub/checkpoints/vit_b_16-c867db91.pth,c867db91d3e12c6cbadabb610d73c24a546bf82d8c03a9fea34f43a712ddb0e9
Wong2020Fast,RobustBench pilot,models/robustbench/cifar10/Linf/Wong2020Fast.pt,597407679d21f114d0caf8a74d0110c4eaff52ac3ea00930084e22d58aef0a07
Engstrom2019Robustness,RobustBench pilot,models/robustbench/cifar10/Linf/Engstrom2019Robustness.pt,bced54a57fdd94a311a5f24fa8e0228ab5628441d3a043ff331b709f4bb7c80f
Addepalli2022Efficient_RN18,RobustBench pilot,models/robustbench/cifar10/Linf/Addepalli2022Efficient_RN18.pt,a8fd58136e2e1ed78fd87f9fb105d4786b40db4bf5611aaec6db47729bc93f13
